"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"3291174",7567964466,"FZE6448","NY","PAS","11/08/2013",21,"SUBN","JEEP","T",18830,0,0,20140705,19,19,19,358184,"T103","Q","0945A","","NY","I","S","E 93rd St","10ft E/of Lexington",0,408,"d1","","Y  Y","0900A","1030A","GY",NA,0,"",0,"C -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975024",7219156108,"GFN1557","NY","PAS","08/30/2013",20,"4DSD","LEXUS","T",64730,0,0,20150410,66,66,66,358138,"T302","K","0239P","","K","I","E","New Utrecht Ave","10ft N/of 50th St",0,408,"d","","YYYYYYY","","","BR",NA,2013,"",0,"01 -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8705442",5073512066,"FFM5343","NY","PAS","05/18/2014",7,"","FORD","V",0,0,0,0,NA,0,0,0,"","","0627P","","","","","HOYT AVE.(S/B)@31ST","ST.-RC-4",0,1111,"D","T","","","","BK",NA,2009,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2197747",7095152019,"CSX8579","NY","PAS","09/30/2013",38,"4DSD","TOYOT","T",16490,8790,61090,20140531,115,115,115,356979,"T401","B","1130A","","Q","O","37-05","79th St","",0,408,"h1","","Y","0900A","0700P","GY",NA,2009,"",0,"23-A","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2758347",7219166205,"GJH1175","NY","PAS","11/08/2013",37,"SUBN","HONDA","T",77930,40930,18630,20150728,70,70,70,357342,"T302","D","0339P","0306P","K","O","11","Snyder Ave","",0,408,"h1","","Y","0800A","0700P","WH",NA,2013,"304-3103",0,"31 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1928724",7850788850,"GDJ3975","NY","PAS","10/17/2013",37,"SUBN","HONDA","T",10610,34110,34130,20141119,13,13,13,358870,"T102","J","0305P","0254P","NY","O","120","7th Ave","",0,408,"h1","","Y","0900A","0700P","BK",NA,2012,"145-7599",0,"17 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8355493",7155505936,"698RGV","KY","PAS","06/05/2014",31,"SUBN","NISSA","T",34550,10610,10810,20150788,14,14,14,357700,"T106","H","1248P","","NY","O","270","W 39th St","",0,408,"l3","","YYYYY","0600A","0700P","BLACK",NA,0,"",0,"99 6","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8951728",7733429717,"BNV2800","NY","PAS","06/10/2014",14,"SUBN","SUBAR","T",29830,13430,68930,20140729,84,84,84,353177,"T802","B","0847P","","K","F","149","Court St","",0,408,"c","","YYYYYYY","","","GREY",NA,2001,"",0,"CC2","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3252949",7507101204,"87510JZ","NY","COM","11/25/2013",14,"UTIL","GMC","T",21130,63030,93250,88888888,84,84,84,355161,"T301","S","0908A","","K","O","365","Bridge St","",0,408,"c","","YYYYYYY","","","WHITE",NA,2005,"",0,"03 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5907972",7845123249,"67155MC","NY","COM","03/19/2014",69,"UTIL","INTER","T",34510,10810,10910,20141031,14,14,14,356525,"T102","J","0505P","","NY","F","350","W 37th St","",0,408,"h1","","YYYYY","0600A","0700P","WHITE",NA,2004,"",0,"MC 9","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6251265",7580700591,"BEE7002","NY","PAS","03/18/2014",70,"4DSD","HONDA","T",27106,21870,21900,20140311,105,105,105,353398,"T402","M","0559A","","Q","O","13058","235th St","",0,408,"j3","","YYYYYYY","","","BL",NA,2008,"",0,"L 42","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1254031",5069914145,"CAK7602","NC","PAS","08/02/2013",7,"VAN","DODGE","V",0,0,0,0,NA,0,0,0,"","","0713P","","","","","QUEENS BLVD.  (E/B)","@  58TH  ST.-Q1-3",0,1111,"D","T","","","","WHT",NA,2005,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5349166",5072354740,"2ADGF8","CT","999","01/09/2014",7,"UTIL","HONDA","V",0,0,0,0,NA,0,0,0,"","","0119P","","","","","QUEENS BLVD.(E/B)@70","TH ST.-RJ-3",0,1111,"D","T","","","","GRY",NA,2013,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6662221",7542384612,"RSC059","TX","PAS","04/23/2014",38,"SUBN","FORD","T",27530,0,0,20140088,84,84,84,353993,"T301","X","0439P","","K","I","E","Clinton St","40ft S/of Pierrepont",0,408,"h1","","Y","0800A","0700P","BLACK",NA,0,"",0,"03 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3719441",7629894508,"GJU4443","NY","PAS","11/30/2013",17,"4DSD","NISSA","T",0,40404,40404,20140103,109,109,109,355101,"T401","I","0300P","","Q","I","","Flushing Lot #1","",0,408,"c4","","YYYYYYY","","","SILVE",NA,2012,"",0,"01 -","17-No Stand (exc auth veh)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1240338",1355081609,"DTG6731","NY","PAS","08/29/2013",67,"SUBN","HONDA","X",41620,64020,34820,20140718,41,41,41,915847,"0041","0000","0718P","","BX","F","875","HUNTS PT AVE","",0,408,"K6","","BBBBBBB","ALL","ALL","BLUE",0,2006,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8738471",7064704006,"AM185N","NJ","PAS","06/24/2014",69,"DELV","INTER","T",34630,10510,13610,88888888,14,14,14,355446,"T106","E","0716A","","NY","O","127","W 43rd St","",0,408,"h1","","YYYYY","0700A","0600P","GREEN",NA,0,"",0,"99 6","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34092",1355244638,"90030JU","NY","PAS","08/03/2013",20,"VAN","FORD","P",67530,25130,80730,20130831,70,70,70,951109,"0070","0000","0852A","","K","F","485","OCEAN AVE","",0,408,"F1","","BBBBBBB","ALL","ALL","WHITE",0,2002,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7820061",7041314560,"57972JC","NY","COM","05/19/2014",38,"VAN","CHEVR","T",15920,21420,50920,20150304,45,45,45,359570,"T202","F","0254P","","BX","F","3397","Bruckner Blvd","",0,408,"h1","","Y","0930A","0700P","WH",NA,1998,"",0,"07P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664387",7570686457,"FPZ6064","NY","PAS","08/09/2013",38,"4DSD","MITSU","T",21120,76950,27480,20140208,45,45,45,357766,"T202","D","0600P","","BX","O","2000","Continental Ave","",0,408,"h1","","Y","0800A","0700P","BLACK",NA,2012,"",0,"06P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2818318",7414398286,"N852538","IL","PAS","11/18/2013",38,"SUBN","DODGE","T",26190,50320,68020,20131288,40,40,40,358865,"T201","G","0410P","","BX","O","417","E 151st St","",0,408,"h1","","Y","0800A","0700P","BLUE",NA,0,"",0,"35 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8511831",7799968709,"37144JX","NY","COM","06/24/2014",46,"VAN","CHEVR","T",77150,28320,28350,20151231,47,47,47,359577,"T202","B","1022A","1018A","BX","O","3939","White Plains Rd","",0,408,"F1","","","","","GY",NA,1989,"",0,"22P","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5993680",1366893440,"142HJ4","MA","PAS","02/22/2014",46,"SDN","LEXUS","P",35750,44990,29690,20140430,24,24,24,928671,"0024","0000","1033A","","NY","F","310","W 99TH STREET","",0,408,"M2","","BBBBBBB","ALL","ALL","SIL",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8932343",7751478184,"EEK6921","NY","PAS","06/22/2014",10,"SUBN","JEEP","T",24980,23980,12550,20160303,45,45,45,346400,"T202","O","0545A","","BX","F","170","Dreiser Loop","",0,408,"b","","YYYYYYY","","","GR",NA,2006,"",0,"D 22","10-No Stopping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214363",7112739421,"98620MB","NY","COM","10/08/2013",37,"VAN","CHEVR","T",10210,18270,18290,20140331,19,19,19,355660,"T103","Q","0446P","0439P","NY","F","1103","3rd Ave","",0,408,"h1","","Y","0800A","0700P","WH",NA,2008,"107-4870",0,"11 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085034",7662896584,"GCZ8268","NY","PAS","09/14/2013",38,"SUBN","TOYOT","T",10210,18470,18490,20141028,19,19,19,351950,"T103","G","0906A","","NY","O","1307","3rd Ave","",0,408,"h1","","Y","0800A","0700P","GY",NA,2012,"",0,"01 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589841",7096645834,"ELV5799","NY","PAS","12/03/2013",21,"4DSD","CHEVR","T",8740,7790,7990,20141130,114,114,114,358566,"T401","E","0836A","","Q","F","30-25","36th St","",0,408,"d1","","Y  Y","0830A","1000A","GY",NA,2009,"",0,"30 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1483767",7686635223,"ELV8186","NY","PAS","09/16/2013",19,"SUBN","TOYOT","T",29620,63440,58220,20140917,45,45,45,358563,"T202","B","1137A","","BX","F","3630","E Tremont Ave","",0,408,"c3","","YYYYYYY","","","WH",NA,2008,"",0,"07A","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7802256",5080149840,"FDD4938","NY","PAS","04/10/2014",7,"4DSD","TOYOT","V",0,0,0,0,NA,0,0,0,"","","0514P","","","","","WB ATLANTIC AVE @ RO","CKAWAY AVE",0,1111,"D","T","","","","WH",NA,2007,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329382",7415552830,"FZV9365","NY","PAS","10/03/2013",37,"SUBN","GMC","T",0,0,0,20140821,52,52,52,358922,"T201","H","1149A","1142A","BX","I","W","Webster Ave","130ft N/of E Fordham",0,408,"h1","","Y","0800A","0700P","BK",NA,2009,"201-8547",0,"60 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3430557",7925137290,"FFF5163","NY","PAS","11/09/2013",83,"PICK","FORD","T",34550,10810,10910,20140909,14,14,14,355437,"T106","H","0251P","","NY","O","323","W 39th St","",0,408,"j1","","","","","WHITE",NA,2002,"",0,"71 -","83-Improper Registration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223442",7104681711,"EWV5944","NY","PAS","10/05/2013",40,"4DSD","ACURA","T",6180,17380,10030,20140401,68,68,68,333042,"T302","M","0636A","","K","F","6903","11th Ave","",0,408,"e2","","YYYYYYY","","","GREY",NA,2010,"",4,"A -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3147139",7127500885,"EXZ7480","NY","PAS","11/15/2013",14,"4DSD","TOYOT","T",10110,18650,18670,20140406,19,19,19,354098,"T103","A","0708A","","NY","F","1615","2nd Ave","",0,408,"c","","YYYYY","0700A","1000A","RD",NA,2003,"",0,"CC1","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6968942",7100186158,"DCG4292","NY","PAS","04/14/2014",21,"4DSD","ISUZU","T",14690,8190,57790,20150717,115,115,115,354057,"T401","H","1251P","","Q","F","32-10","69th St","",0,408,"d1","","Y","1130A","0100P","BK",NA,2009,"",0,"48-P","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4247277",5072245482,"GL57LE","NJ","PAS","12/29/2013",7,"4 DR","FORD","V",0,0,0,0,NA,0,0,0,"","","0229P","","","","","ATLANTIC AVE. (W/B)@","NOSTRAND AVE.-KN-3",0,1111,"D","T","","","","BL",NA,2010,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344701",7501840386,"CUL3069","NY","PAS","10/25/2013",37,"SUBN","NISSA","T",51030,0,0,20140516,84,84,84,356531,"T301","G","1242P","1222P","K","I","N","Hoyt St","40ft E/of Schermerho",0,408,"h1","","Y","0900A","0400P","BLACK",NA,2004,"301-3646",0,"03 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4400978",7517952810,"XANE88","NC","PAS","01/14/2014",50,"DELV","HINO","T",0,0,0,20140088,40,40,40,357734,"T201","O","0437P","","BX","I","E","Melrose Ave","0ft S/of E 151st St",0,408,"e5","","","","","WHITE",NA,0,"",0,"Z -","50-Crosswalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5954533",7985414927,"61709MD","NY","COM","03/19/2014",20,"VAN","FORD","T",34590,0,0,20150228,14,14,14,333733,"T106","H","0129P","1200P","NY","I","S","W 41st St","125ft E/of 9th Ave",0,408,"d","","YYYYYYY","","","BLUE",NA,2001,"",0,"106","20-No Parking (Com Plate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4104271",7772105629,"A16BYF","NJ","PAS","12/21/2013",38,"SUBN","SUBAR","T",33910,25190,10510,88888888,6,6,6,358122,"T101","F","0607P","","NY","F","145","W 4th St","",0,408,"h1","","Y","0730A","1000P","GOLD",NA,0,"",0,"59 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7643590",7881185661,"P77517","MA","COM","05/14/2014",37,"VAN","FORD","T",34050,10510,10610,20141288,10,10,10,359598,"T102","K","0258P","0251P","NY","F","110","W 14th St","",0,408,"h1","","Y","0830A","1000P","WHITE",NA,0,"145-7492",0,"11 6","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404752",1343425876,"12922JB","99","COM","07/24/2013",45,"DELV","FRUEH","T",0,0,0,0,107,107,504,331811,"T504","0000","0309P","","Q","","","E/S 83 AV","150  S/O QUEENS BLVD",0,408,"I4","","BBBBBBB","ALL","ALL","BR",0,2001,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6281769",7658088160,"169SLM","QB","PAS","03/10/2014",37,"SUBN","ACURA","T",15710,35270,35290,88880088,20,20,20,358659,"T103","R","0153P","0134P","NY","F","324","Columbus Ave","",0,408,"h1","","YYYYY","1000A","0700P","BLACK",NA,0,"103-4476",0,"53 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4805314",7582293873,"FSK5498","NY","PAS","01/27/2014",71,"SUBN","JEEP","T",0,0,0,20151129,47,47,47,356325,"T202","O","0755A","","BX","I","E","Rombouts Ave","40ft N/of Conner St",0,408,"j6","","YYYYYYY","","","BL",NA,2004,"",0,"B -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3009887",1355291495,"ERH7863","NY","PAS","11/02/2013",49,"SDN","TOYOT","P",60085,29940,50303,20150416,101,101,171,952857,"0171","0000","1140P","","Q","F","1250","REDFERN AVE","",0,408,"F7","","BBBBBBB","ALL","ALL","WH",0,2007,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1562075",7948322929,"12087MB","NY","COM","09/12/2013",69,"UTIL","INTER","T",13550,45340,13590,20141130,1,1,1,353998,"T101","B","1205P","","NY","F","27","Bridge St","",0,408,"h1","","Y","0700A","0700P","WH",NA,2003,"",0,"02 -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7523953",7469544318,"GLP4658","NY","PAS","05/14/2014",20,"SUBN","ME/BE","T",51090,20740,20840,20151113,102,102,102,357050,"T402","A","1115A","","Q","F","114-08","Jamaica Ave","",0,408,"d","","YYYYYYY","","","BK",NA,2014,"",0,"20 4","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140495",7090658740,"GDV6066","NY","PAS","07/29/2013",21,"4DSD","DODGE","T",8140,37290,8440,20150124,114,114,114,356199,"T401","C","0857A","","Q","F","32-44","31st St","",0,408,"d1","","Y","0830A","0900A","BK",NA,2010,"",0,"32 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5230995",7752648127,"GKM9274","NY","PAS","02/13/2014",38,"4DSD","INFIN","T",40020,61620,16420,20150921,45,45,45,359283,"T202","F","0524P","","BX","O","1755","Hobart Ave","",0,408,"h1","","Y","0830A","0700P","BK",NA,2010,"",0,"22P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4515460",7930766986,"GJB8485","NY","OMS","01/26/2014",20,"4DSD","HYUND","T",15350,0,0,20140930,1,1,1,353424,"T101","M","0213P","","NY","I","E","Church St","20ft S/of Barclay St",0,408,"d","","YYYYYYY","","","RD",NA,2014,"",0,"E -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214612",7487065030,"36741JS","NY","COM","08/19/2013",69,"VAN","FORD","T",17770,97740,10110,20140930,17,17,17,356484,"T102","J","0143P","","NY","F","247","E 39th St","",0,408,"h1","","Y","0700A","0700P","WH",NA,2004,"",0,"99 -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4289237",7085720657,"55466AX","NY","COM","01/09/2014",20,"VAN","SPRI","T",12710,22890,13113,20140531,5,5,5,355631,"T105","J","1232P","1200P","NY","F","144","Baxter St","",20140109,408,"d","","YYYYY","0800A","0600P","WH",NA,2004,"",0,"119","20-No Parking (Com Plate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2580530",7949459141,"18602MA","NY","COM","10/15/2013",38,"DELV","MITSU","T",25090,13810,16310,20140331,7,7,7,357366,"T101","B","1159A","","NY","O","81","Ludlow St","",0,408,"h1","","Y","0900A","0700P","WH",NA,2002,"",0,"03 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5674481",7075385896,"GEN8584","NY","PAS","03/13/2014",71,"4DSD","AUDI","T",57950,76930,10025,20150314,60,60,60,358154,"T302","P","0201P","","K","F","171","Mac Kenzie St","",0,408,"j6","","","","","TN",NA,2001,"",0,"03 3","71-Insp. Sticker Missing (NYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3461448",1353975812,"633JCD","CT","PAS","12/05/2013",14,"SDN","SUBAR","P",0,0,0,0,108,108,0,346359,"QTPU","0000","0902A","","Q","","","W/S 56 ST","W/O SKILLMAN AVE",0,408,"D","","BBBBBBB","ALL","ALL","GY",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5004401",5072406209,"JJZ5862","PA","PAS","01/07/2014",7,"","ACURA","V",0,0,0,0,NA,0,0,0,"","","0914P","","","","","NORTHERN BLVD.(E/B)@","48TH ST.-R2-3",0,1111,"D","T","","","","GREY",NA,0,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7318072",1354170295,"GKY2131","NY","PAS","05/13/2014",40,"SUBN","FORD","X",75230,23230,23930,20160131,83,83,110,350318,"T110","0000","1029A","","K","F","11","SCHAEFER ST","",0,408,"D1","","BBBBBBB","ALL","ALL","GRY",0,2001,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4852867",7765429360,"FXX5281","NY","PAS","12/31/2013",21,"SUBN","CHEVR","T",53890,44195,44690,20140503,105,105,105,350438,"T402","L","0952A","","Q","O","188-26","Linden Blvd","",0,408,"d1","","Y","0930A","1000A","BL",NA,2004,"",0,"K -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2898566",7787125433,"33073JB","NY","COM","11/19/2013",40,"UTIL","FORD","T",64290,37290,8440,20140331,114,114,114,357087,"T401","D","1108A","","Q","F","32-43","Steinway St","",0,408,"e2","","YYYYYYY","","","RED",NA,1995,"",0,"25 -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1352024",7100140511,"185WT5","MA","PAS","09/14/2013",19,"4DSD","CHEVR","T",6740,50330,7290,20130588,114,114,114,331904,"T401","L","0548A","","Q","O","25-20","21st St","",0,408,"c3","","YYYYYYY","","","GREY",NA,0,"",0,"R -","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983895",7964789478,"GKW3059","NY","PAS","09/28/2013",31,"SUBN","TOYOT","T",19690,14310,25890,20150915,5,5,5,350423,"T105","E","1244P","","NY","F","33","E Broadway","",0,408,"l3","","Y","0800A","0100P","GY",NA,1997,"",0,"Q -","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1236634",1353559956,"CYJ5265","NY","PAS","09/12/2013",71,"SDN","HONDA","T",44750,10575,10575,20130517,122,122,303,353038,"T303","0000","1104A","","R","F","2655","RICHMOND AVE","",0,408,"J3","","BBBBBBB","ALL","ALL","SL",0,2006,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5996307",1365736131,"FEM3419","NY","PAS","03/09/2014",71,"SDN","ME/BE","X",22898,29635,52910,20141028,123,123,123,940347,"0123","0000","0930A","","R","F","127","CHURCHILL AVE","",0,408,"J6","","BBBBBBB","ALL","ALL","WH",0,2008,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4831386",7690697367,"ECG7827","NY","PAS","01/13/2014",38,"4DSD","SUBAR","T",5580,9430,9480,20150824,72,72,72,356182,"T302","N","0211P","","K","F","5723","5th Ave","",0,408,"h1","","Y","0830A","0700P","BLACK",NA,2005,"",0,"49 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
